element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,GW,minutes_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,Cost,transfers_balance,selected,transfers_in,transfers_out
389,13,5,1,False,2024-08-24 11:30:00+00:00,2,1,2,45,0,0,0,1,0,0,0,0,0,0,0,5.0,11.4,11.0,4.0,2.6,0,0.00,0.03,0.03,1.28,7.1,206599,482527,232248,25649
389,27,12,1,True,2024-09-01 15:00:00+00:00,0,3,3,85,0,0,0,3,0,0,0,1,0,0,0,-6.0,0.8,4.0,39.0,4.4,1,0.88,0.02,0.90,1.30,7.1,-81776,404151,50995,132771
389,38,17,2,False,2024-09-14 11:30:00+00:00,0,3,4,90,0,0,1,0,0,0,0,0,0,0,0,8.0,15.4,24.3,55.0,9.5,1,1.14,0.03,1.17,1.12,7.0,-33435,391281,66379,99814
389,43,7,2,False,2024-09-21 16:30:00+00:00,0,0,5,60,0,0,1,0,0,0,0,0,0,0,0,11.0,5.2,28.6,11.0,4.5,1,0.10,0.22,0.32,0.17,7.0,-26804,370580,31735,58539
389,57,18,1,True,2024-09-29 15:30:00+00:00,0,3,6,45,0,0,0,1,0,0,0,0,0,0,0,6.0,8.4,0.7,17.0,2.6,1,0.25,0.01,0.26,1.99,6.9,-61513,311001,9510,71023
389,62,2,1,False,2024-10-06 13:00:00+00:00,0,0,7,26,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.3,0.0,0.0,0,0.00,0.00,0.00,0.14,6.8,-49841,264215,6197,56038
572,1,9,0,True,2024-08-16 19:00:00+00:00,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.5,0,19850,0,0
572,13,5,0,False,2024-08-24 11:30:00+00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.4,-6787,13220,168,6955
572,27,12,0,True,2024-09-01 15:00:00+00:00,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.4,-1910,11777,663,2573
572,38,17,0,False,2024-09-14 11:30:00+00:00,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.4,-1314,10615,408,1722
572,43,7,0,False,2024-09-21 16:30:00+00:00,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.4,-738,9966,129,867
572,57,18,0,True,2024-09-29 15:30:00+00:00,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.4,-477,9526,147,624
572,62,2,0,False,2024-10-06 13:00:00+00:00,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,4.3,-276,9311,278,554
593,1,9,1,True,2024-08-16 19:00:00+00:00,1,0,1,9,0,0,0,0,0,0,0,0,0,0,0,3.0,0.2,0.0,0.0,0.0,0,0.00,0.00,0.00,0.06,5.0,0,314129,0,0
593,13,5,1,False,2024-08-24 11:30:00+00:00,2,1,2,11,0,0,0,1,0,0,0,0,0,0,0,1.0,9.6,0.2,0.0,1.0,0,0.00,0.00,0.00,0.60,5.0,-23953,367361,30305,54258
593,27,12,0,True,2024-09-01 15:00:00+00:00,0,3,3,68,0,0,0,3,0,0,0,1,0,0,0,0.0,6.0,0.6,0.0,0.7,1,0.00,0.00,0.00,1.30,5.0,-66600,321137,13054,79654
593,38,17,15,False,2024-09-14 11:30:00+00:00,0,3,4,86,1,0,1,0,0,0,0,0,0,0,3,51.0,61.0,10.6,36.0,10.8,1,0.41,0.00,0.41,1.12,5.0,-27817,316358,21953,49770
